ej_index	label	order	type_equiv_class_size
1	51840.b.51840.a1.a1	1	1
2	51840.b.25920.a1.a1	2	1
3	51840.b.25920.c1.a1	2	1
4	51840.b.12960.c1.a1	4	1
5	51840.b.8640.c1.a1	6	1
6	51840.b.17280.b1.a1	3	1
7	51840.b.25920.d1.a1	2	2
8	51840.b.12960.b1.a1	4	1
9	51840.b.12960.l1.a1	4	2
10	51840.b.6480.i1.a1	8	1
11	51840.b.12960.l2.a1	4	2
12	51840.b.6480.h1.a1	8	1
13	51840.b.12960.j1.a1	4	1
14	51840.b.4320.h1.a1	12	1
15	51840.b.8640.i1.a1	6	1
16	51840.b.8640.a1.a1	6	1
17	51840.b.2160.j1.a1	24	1
18	51840.b.4320.t1.a1	12	1
19	51840.b.12960.h1.a1	4	3
20	51840.b.17280.c1.a1	3	2
21	51840.b.6480.g1.a1	8	2
22	51840.b.12960.k1.a1	4	2
23	51840.b.6480.d1.a1	8	2
24	51840.b.8640.j1.a1	6	1
25	51840.b.3240.j1.a1	16	1
26	51840.b.6480.y1.a1	8	2
27	51840.b.6480.z1.a1	8	1
28	51840.b.6480.c1.a1	8	1
29	51840.b.5184.b1.a1	10	1
30	51840.b.10368.a1.a1	5	1
31	51840.b.1080.k1.a1	48	1
32	51840.b.2160.b1.a1	24	1
33	51840.b.2160.ba1.a1	24	1
34	51840.b.1440.h1.a1	36	1
35	51840.b.2880.j1.a1	18	1
36	51840.b.2880.c1.a1	18	1
37	51840.b.5760.d1.a1	9	1
38	51840.b.432.c1.a1	120	1
39	51840.b.864.a1.a1	60	1
40	51840.b.2592.b1.a1	20	1
41	51840.b.8640.n2.a1	6	4
42	51840.b.4320.s1.a1	12	2
43	51840.b.8640.k1.a1	6	3
44	51840.b.720.e1.a1	72	2
45	51840.b.1440.p1.a1	36	2
46	51840.b.1440.r1.a1	36	2
47	51840.b.2880.g1.a1	18	2
48	51840.b.1080.f1.a1	48	1
49	51840.b.2160.h1.a1	24	1
50	51840.b.2160.bb1.a1	24	1
51	51840.b.2160.y1.a1	24	1
52	51840.b.4320.u1.a1	12	1
53	51840.b.72.b1.a1	720	1
54	51840.b.144.a1.a1	360	1
55	51840.b.432.e1.a1	120	1
56	51840.b.864.b1.a1	60	1
57	51840.b.36.a1.a1	1440	1
58	51840.b.72.c1.a1	720	1
59	51840.b.72.a1.a1	720	1
60	51840.b.216.a1.a1	240	1
61	51840.b.432.d1.a1	120	1
62	51840.b.432.b1.a1	120	1
63	51840.b.540.c1.a1	96	1
64	51840.b.1080.e1.a1	48	1
65	51840.b.1080.c1.a1	48	1
66	51840.b.1080.a1.a1	48	1
67	51840.b.1080.m1.a1	48	1
68	51840.b.1080.x1.a1	48	1
69	51840.b.1080.g1.a1	48	1
70	51840.b.2160.u1.a1	24	2
71	51840.b.2160.x1.a1	24	2
72	51840.b.2160.c1.a1	24	1
73	51840.b.2160.l1.a1	24	1
74	51840.b.360.a1.a1	144	1
75	51840.b.720.a1.a1	72	1
76	51840.b.720.i1.a1	72	2
77	51840.b.720.h1.a1	72	2
78	51840.b.720.b1.a1	72	1
79	51840.b.1440.l1.a1	36	1
80	51840.b.1440.a1.a1	36	1
81	51840.b.2160.a1.a1	24	1
82	51840.b.4320.n1.a1	12	3
83	51840.b.4320.k1.a1	12	3
84	51840.b.4320.a1.a1	12	1
85	51840.b.720.d1.a1	72	2
86	51840.b.1440.n1.a1	36	2
87	51840.b.1440.q1.a1	36	2
88	51840.b.2880.m1.a1	18	2
89	51840.b.216.b1.a1	240	1
90	51840.b.432.a1.a1	120	1
91	51840.b.432.f1.a1	120	1
92	51840.b.1296.a1.a1	40	1
93	51840.b.2592.c1.a1	20	1
94	51840.b.4320.b1.a1	12	1
95	51840.b.4320.o1.a1	12	2
96	51840.b.8640.d1.a1	6	3
97	51840.b.2592.a1.a1	20	1
98	51840.b.5184.a1.a1	10	1
99	51840.b.5184.c1.a1	10	1
100	51840.b.720.f1.a1	72	1
101	51840.b.1440.b1.a1	36	1
102	51840.b.1440.f1.a1	36	1
103	51840.b.1440.s1.a1	36	1
104	51840.b.1440.g1.a1	36	1
105	51840.b.2880.i1.a1	18	1
106	51840.b.2880.q1.a1	18	1
107	51840.b.2880.a1.a1	18	1
108	51840.b.540.f1.a1	96	1
109	51840.b.1080.b1.a1	48	1
110	51840.b.1080.d1.a1	48	1
111	51840.b.1080.v1.a1	48	1
112	51840.b.8640.n1.a1	6	4
113	51840.b.1080.j1.a1	48	1
114	51840.b.2160.t1.a1	24	1
115	51840.b.2160.v1.a1	24	1
116	51840.b.1620.f1.a1	32	1
117	51840.b.3240.r1.a1	16	2
118	51840.b.3240.e1.a1	16	1
119	51840.b.3240.b1.a1	16	1
120	51840.b.3240.a1.a1	16	1
121	51840.b.3240.ba1.a1	16	1
122	51840.b.3240.d1.a1	16	1
123	51840.b.6480.n1.a1	8	1
124	51840.b.6480.w1.a1	8	1
125	51840.b.4320.d1.a1	12	1
126	51840.b.8640.l1.a1	6	4
127	51840.b.3240.g1.a1	16	1
128	51840.b.6480.t1.a1	8	1
129	51840.b.6480.x1.a1	8	3
130	51840.b.6480.l1.a1	8	1
131	51840.b.3240.h1.a1	16	1
132	51840.b.6480.j1.a1	8	1
133	51840.b.3240.i1.a1	16	1
134	51840.b.6480.x2.a1	8	3
135	51840.b.6480.b1.a1	8	1
136	51840.b.6480.u1.a1	8	3
137	51840.b.8640.b1.a1	6	1
138	51840.b.6480.v1.a1	8	1
139	51840.b.6480.a1.a1	8	1
140	51840.b.2160.i1.a1	24	1
141	51840.b.4320.c1.a1	12	1
142	51840.b.4320.v1.a1	12	1
143	51840.b.4320.e1.a1	12	1
144	51840.b.6480.f1.a1	8	2
145	51840.b.12960.i1.a1	4	2
146	51840.b.12960.e1.a1	4	1
147	51840.b.4320.g1.a1	12	1
148	51840.b.8640.h1.a1	6	1
149	51840.b.8640.m2.a1	6	2
150	51840.b.3240.k1.a1	16	1
151	51840.b.6480.d2.a1	8	2
152	51840.b.6480.p2.a1	8	2
153	51840.b.12960.g1.a1	4	3
154	51840.b.6480.e1.a1	8	1
155	51840.b.12960.h2.a1	4	3
156	51840.b.12960.d1.a1	4	1
157	51840.b.12960.a1.a1	4	1
158	51840.b.25920.b1.a1	2	2
159	51840.b.2880.k1.a1	18	2
160	51840.b.2880.e1.a1	18	2
161	51840.b.1440.j1.a1	36	1
162	51840.b.960.g1.a1	54	1
163	51840.b.960.b1.a1	54	1
164	51840.b.480.e1.a1	108	1
165	51840.b.480.h1.a1	108	1
166	51840.b.480.d1.a1	108	1
167	51840.b.480.a1.a1	108	1
168	51840.b.240.a1.a1	216	1
169	51840.b.5760.a1.a1	9	1
170	51840.b.2880.n1.a1	18	1
171	51840.b.1920.c1.a1	27	1
172	51840.b.2880.p2.a1	18	2
173	51840.b.2880.h1.a1	18	1
174	51840.b.960.a1.a1	54	1
175	51840.b.480.b1.a1	108	1
176	51840.b.2880.l1.a1	18	1
177	51840.b.2880.d1.a1	18	1
178	51840.b.1440.i1.a1	36	1
179	51840.b.1440.k1.a1	36	1
180	51840.b.1440.o1.a1	36	1
181	51840.b.1440.c1.a1	36	1
182	51840.b.1440.m1.a1	36	1
183	51840.b.720.c1.a1	72	1
184	51840.b.2880.p1.a1	18	2
185	51840.b.960.d1.a1	54	1
186	51840.b.1440.e1.a1	36	1
187	51840.b.4320.i1.a1	12	3
188	51840.b.2880.f1.a1	18	1
189	51840.b.960.h1.a1	54	1
190	51840.b.1440.d1.a1	36	1
191	51840.b.8640.f1.a1	6	3
192	51840.b.5760.c1.a1	9	1
193	51840.b.2880.b1.a1	18	1
194	51840.b.8640.g1.a1	6	4
195	51840.b.4320.m1.a1	12	1
196	51840.b.4320.p1.a1	12	1
197	51840.b.4320.j1.a1	12	1
198	51840.b.2160.f1.a1	24	1
199	51840.b.8640.e1.a1	6	1
200	51840.b.8640.m1.a1	6	2
201	51840.b.4320.f1.a1	12	1
202	51840.b.17280.a1.a1	3	2
203	51840.b.120.a1.a1	432	1
204	51840.b.240.c1.a1	216	1
205	51840.b.240.d1.a1	216	1
206	51840.b.240.j1.a1	216	1
207	51840.b.240.f1.a1	216	1
208	51840.b.240.b1.a1	216	1
209	51840.b.480.i1.a1	108	1
210	51840.b.480.j1.a1	108	1
211	51840.b.240.e1.a1	216	1
212	51840.b.480.c1.a1	108	1
213	51840.b.480.k1.a1	108	1
214	51840.b.1080.h1.a1	48	1
215	51840.b.2160.s1.a1	24	1
216	51840.b.2160.z1.a1	24	1
217	51840.b.2160.g1.a1	24	1
218	51840.b.2160.e1.a1	24	1
219	51840.b.2160.d1.a1	24	1
220	51840.b.4320.r1.a1	12	1
