label,c
8.0.16777216.1,"{1,0,0,0,0,0,0,0,1}"
12.0.1586874322944.1,"{1,0,0,0,0,0,-1,0,0,0,0,0,1}"
4.0.256.1,"{1,0,0,0,1}"
8.0.5308416.1,"{1,0,0,0,-1,0,0,0,1}"
8.0.40960000.1,"{1,0,0,0,7,0,0,0,1}"
6.0.19683.1,"{1,0,0,-1,0,0,1}"
12.0.6053445140625.1,"{1,0,0,4,0,0,17,0,0,-4,0,0,1}"
2.0.4.1,"{1,0,1}"
4.0.144.1,"{1,0,-1,0,1}"
8.0.4000000.1,"{1,0,-1,0,1,0,-1,0,1}"
12.0.1157018619904.1,"{1,0,-1,0,1,0,-1,0,1,0,-1,0,1}"
3.1.23.1,"{1,0,-1,1}"
8.0.324000000.1,"{1,0,24,0,26,0,9,0,1}"
4.0.400.1,"{1,0,3,0,1}"
8.0.12960000.1,"{1,0,-3,0,8,0,-3,0,1}"
6.0.153664.1,"{1,0,6,0,5,0,1}"
6.0.419904.1,"{1,0,9,0,6,0,1}"
3.1.31.1,"{-1,1,0,1}"
12.0.205924456521.1,"{1,-1,0,1,-1,0,1,0,-1,1,0,-1,1}"
8.0.1265625.1,"{1,-1,0,1,-1,1,0,-1,1}"
2.2.5.1,"{-1,-1,1}"
2.0.3.1,"{1,-1,1}"
3.1.44.1,"{1,1,-1,1}"
4.0.125.1,"{1,-1,1,-1,1}"
6.0.16807.1,"{1,-1,1,-1,1,-1,1}"
10.0.2357947691.1,"{1,-1,1,-1,1,-1,1,-1,1,-1,1}"
12.0.1792160394037.1,"{1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1}"
3.3.1369.1,"{-11,-12,-1,1}"
4.0.225.1,"{1,1,2,-1,1}"
10.10.572981288913.1,"{1,-12,12,43,-43,-34,34,10,-10,-1,1}"
12.12.1306484927252973.1,"{1,12,-12,-79,79,103,-103,-53,53,12,-12,-1,1}"
12.0.4413675765625.1,"{1,1,2,3,5,8,13,-8,5,-3,2,-1,1}"
12.12.756680642578125.1,"{1,-12,-36,31,105,-27,-112,9,54,-1,-12,0,1}"
4.4.6125.1,"{11,9,-9,-1,1}"
3.1.59.1,"{-1,2,0,1}"
3.3.49.1,"{1,-2,-1,1}"
3.1.87.1,"{1,2,-1,1}"
6.0.64827.1,"{1,-2,5,0,3,-1,1}"
12.0.11259376953125.1,"{1,-2,5,-11,25,1,12,2,9,-4,3,-1,1}"
9.9.3691950281939241.1,"{-12691,21609,0,-10290,0,1323,0,-63,0,1}"
6.6.300125.1,"{-1,-2,7,2,-7,-1,1}"
3.3.81.1,"{-1,-3,0,1}"
12.12.7340688973975552.1,"{13,0,-91,0,182,0,-156,0,65,0,-13,0,1}"
5.5.14641.1,"{-1,3,3,-4,-1,1}"
6.6.371293.1,"{-1,-3,6,4,-5,-1,1}"
12.12.8208085798828125.1,"{1,37,-112,-87,361,84,-396,-62,153,14,-22,-1,1}"
12.0.84075626953125.1,"{1,3,9,26,75,18,28,9,9,-1,3,0,1}"
6.6.820125.1,"{-1,3,9,-4,-9,0,1}"
8.8.410338673.1,"{1,4,-10,-10,15,6,-7,-1,1}"
3.3.169.1,"{-1,-4,-1,1}"
12.0.1593224064453125.1,"{1,4,15,55,201,85,84,50,31,-10,5,-1,1}"
6.0.771147.1,"{1,4,15,6,5,-1,1}"
4.4.1125.1,"{1,4,-4,-1,1}"
9.9.16983563041.1,"{-1,5,10,-20,-15,21,7,-8,-1,1}"
8.0.157351936.1,"{16,0,0,0,1,0,0,0,1}"
8.0.64000000.1,"{16,0,-8,0,4,0,-2,0,1}"
8.0.64000000.2,"{16,0,8,0,4,0,2,0,1}"
8.0.37515625.1,"{16,-8,-4,6,-1,3,-1,-1,1}"
9.9.62523502209.1,"{1,6,-9,-38,12,54,-4,-15,0,1}"
9.9.806460091894081.1,"{1,-8,-150,-427,34,278,11,-32,-1,1}"
12.12.551709470703125.1,"{1,8,-40,-46,110,71,-113,-43,54,11,-12,-1,1}"
6.6.453789.1,"{1,-8,8,6,-6,-1,1}"
9.9.31381059609.1,"{-1,9,0,-30,0,27,0,-9,0,1}"
3.1.108.1,"{-2,0,0,1}"
4.4.8000.1,"{20,0,-10,0,1}"
4.0.8000.2,"{20,0,10,0,1}"
2.2.8.1,"{-2,0,1}"
2.0.8.1,"{2,0,1}"
8.8.2147483648.1,"{2,0,-16,0,20,0,-8,0,1}"
8.0.2147483648.1,"{2,0,16,0,20,0,8,0,1}"
4.4.2048.1,"{2,0,-4,0,1}"
4.0.2048.2,"{2,0,4,0,1}"
3.1.104.1,"{-2,-1,0,1}"
2.0.7.1,"{2,-1,1}"
3.1.83.1,"{-2,1,-1,1}"
3.1.76.1,"{-2,-2,0,1}"
3.1.107.1,"{-2,3,-1,1}"
9.9.301855146292441.1,"{232,-2172,-4600,-1711,1004,559,-46,-44,0,1}"
8.0.324000000.2,"{25,0,25,0,20,0,5,0,1}"
3.3.3969.1,"{-28,-21,0,1}"
2.2.12.1,"{-3,0,1}"
2.2.13.1,"{-3,-1,1}"
2.0.11.1,"{3,-1,1}"
4.0.2197.1,"{3,4,2,-1,1}"
3.3.3969.2,"{-35,-21,0,1}"
9.9.25002110044521.1,"{-37,-69,243,119,-429,117,74,-24,-3,1}"
4.0.576.1,"{4,0,-2,0,1}"
4.0.576.2,"{4,0,2,0,1}"
4.0.784.1,"{4,0,-3,0,1}"
2.0.15.1,"{4,-1,1}"
4.0.441.1,"{4,-2,-1,-1,1}"
4.0.1225.1,"{4,2,5,-1,1}"
4.4.2000.1,"{5,0,-5,0,1}"
9.9.2565164201769.1,"{-53,57,201,-161,-147,93,38,-18,-3,1}"
9.9.5534900853769.1,"{56,84,-224,-295,154,181,-14,-26,0,1}"
9.9.3691950281939241.2,"{-5831,21609,0,-10290,0,1323,0,-63,0,1}"
12.0.74049191673856.1,"{64,0,-32,0,16,0,-8,0,4,0,-2,0,1}"
12.0.74049191673856.2,"{64,0,32,0,16,0,8,0,4,0,2,0,1}"
9.9.9025761726072081.2,"{-703,-4275,-7524,-3192,1254,855,-38,-57,0,1}"
3.3.361.1,"{7,-6,-1,1}"
3.3.961.1,"{8,-10,-1,1}"
8.0.324000000.3,"{81,0,27,0,9,0,3,0,1}"
8.0.228765625.1,"{81,-27,-18,15,1,5,-2,-1,1}"
3.3.1849.1,"{-8,-14,-1,1}"
9.9.567869252041.1,"{8,60,-32,-157,46,103,-8,-20,0,1}"
8.8.12230590464.1,"{9,0,-36,0,36,0,-12,0,1}"
8.0.12230590464.1,"{9,0,36,0,36,0,12,0,1}"
3.3.3721.1,"{9,-20,-1,1}"
4.0.1089.1,"{9,-3,-2,-1,1}"
